Nom du fichier,vorace,revenuVorace,dynamique,revenuDynamique,local,revenuLocal
Restos/WC-200-100-02.txt,2345441,188,24682879,309,33155893,255
Restos/WC-200-100-03.txt,2591269,318,31158457,426,35542929,363
Restos/WC-200-100-04.txt,2679304,405,44812414,597,47066241,521
Restos/WC-200-100-05.txt,2757463,520,50176659,675,42299166,610
Restos/WC-200-100-06.txt,2869093,601,46458578,794,44501075,711
Restos/WC-200-100-07.txt,3189319,765,48283195,918,51735652,869
Restos/WC-200-100-08.txt,3308638,849,50863754,1065,50103657,1015
Restos/WC-200-100-09.txt,3396084,892,54603310,1122,59853013,1045
Restos/WC-200-100-10.txt,3763315,1097,54453074,1332,53032098,1238
Restos/WC-200-10-01.txt,2093718,14,1470720,19,20544730,16
Restos/WC-200-10-02.txt,2248388,25,2343780,35,27989884,30
Restos/WC-200-10-03.txt,2364389,29,3426865,51,27455631,40
Restos/WC-200-10-04.txt,2465153,46,4489216,67,35127705,56
Restos/WC-200-10-05.txt,2631601,59,10848382,77,34705905,64
Restos/WC-200-10-06.txt,2876250,64,11553692,90,40370154,78
Restos/WC-200-10-07.txt,2906844,74,12574298,100,40896893,87
Restos/WC-200-10-08.txt,3098830,96,13900315,119,50412224,107
Restos/WC-200-10-09.txt,3097273,109,15616896,138,50202929,125
Restos/WC-200-10-10.txt,3466576,109,16558149,142,57616203,135
Restos/WC-20-1000-01.txt,992113,795,12206694,1115,2618288,802
Restos/WC-20-1000-02.txt,1032359,861,12403106,1177,3025915,1052
Restos/WC-20-1000-03.txt,1005552,900,12813298,1311,3028778,1186
Restos/WC-20-1000-05.txt,925473,1023,12680379,1349,2633093,1203
Restos/WC-20-1000-06.txt,1030686,1095,12417187,1229,2827541,1137
Restos/WC-20-1000-07.txt,985781,974,12523279,1228,1924471,1228
Restos/WC-20-1000-08.txt,1175586,848,13243346,1181,4841037,1130
Restos/WC-20-1000-09.txt,915758,1036,12993862,1273,2703958,1107
Restos/WC-20-1000-10.txt,955968,1172,13478173,1257,3567050,1071
Restos/WC-20-100-01.txt,1032924,107,1232895,123,3232644,119
Restos/WC-20-100-02.txt,965098,103,1231795,117,2782058,117
Restos/WC-20-100-03.txt,1073940,110,1289425,123,3127104,105
Restos/WC-20-100-04.txt,986794,98,1265616,113,2906524,108
Restos/WC-20-100-05.txt,1132088,97,1231971,112,3061236,104
Restos/WC-20-100-06.txt,943577,75,1233474,118,2352538,107
Restos/WC-20-100-07.txt,961246,107,1379722,129,3000891,123
